s,intensity
9.84886,1.54525
9.84886,0.0515466
9.27362,1.9154
8.77496,0.175223
8.3666,4.32931
8.06226,0.149507
7.87401,6.39377
7.81025,0.153971
7.87401,6.38415
8.06226,0.271213
8.3666,4.36795
8.77496,0.079964
9.27362,1.95996
9.84886,0.0190589
9.38083,103.605
8.77496,7.47501
8.24621,260.791
7.81025,15.5445
7.48331,443.344
7.28011,20.5453
7.2111,668.21
7.28011,17.74
7.48331,512.57
7.81025,10.8527
8.24621,248.384
8.77496,4.30599
9.38083,102.205
9.69536,0.486212
9,0.0449801
8.3666,1.43166
7.81025,2.0845
7.34847,3.27655
7,5.66153
6.78233,5.87448
6.7082,8.11509
6.78233,5.06826
7,8.09906
7.34847,3.25873
7.81025,0.0724462
8.3666,1.61543
9,0.622952
9.69536,0.47894
9.43398,4.70239
8.7178,150.262
8.06226,14.3997
7.48331,536.025
7,26.0009
6.63325,1206.49
6.40312,37.3519
6.32456,756.201
6.40312,35.9328
6.63325,804.291
7,19.2663
7.48331,653.026
8.06226,7.69101
8.7178,174.507
9.43398,2.07944
9.27362,0.0569073
8.544,0.00400886
7.87401,0.381345
7.28011,17.9695
6.78233,0.713262
6.40312,19.5532
6.16441,0.328568
6.08276,29.8782
6.16441,1.03556
6.40312,58.22
6.78233,0.797625
7.28011,0.00477386
7.87401,0.216648
8.544,2.08564
9.27362,0.0767722
10,52.1909
9.21954,5.51637
8.48528,275.892
7.81025,16.3014
7.2111,535.054
6.7082,37.6949
6.32456,686.437
6.08276,45.9098
6,2055.87
6.08276,37.0563
6.32456,1295.57
6.7082,25.3748
7.2111,399.926
7.81025,9.82594
8.48528,243.258
9.21954,2.47801
10,61.1988
9.27362,0.0569073
8.544,0.00400886
7.87401,0.381345
7.28011,17.9695
6.78233,0.713262
6.40312,19.5532
6.16441,0.328568
6.08276,29.8782
6.16441,1.03556
6.40312,58.22
6.78233,0.797625
7.28011,0.00477386
7.87401,0.216648
8.544,2.08564
9.27362,0.0767722
9.43398,4.70239
8.7178,150.262
8.06226,14.3997
7.48331,536.025
7,26.0009
6.63325,1206.49
6.40312,37.3519
6.32456,756.201
6.40312,35.9328
6.63325,804.291
7,19.2663
7.48331,653.026
8.06226,7.69101
8.7178,174.507
9.43398,2.07944
9.69536,0.486212
9,0.0449801
8.3666,1.43166
7.81025,2.0845
7.34847,3.27655
7,5.66153
6.78233,5.87448
6.7082,8.11509
6.78233,5.06826
7,8.09906
7.34847,3.25873
7.81025,0.0724462
8.3666,1.61543
9,0.622952
9.69536,0.47894
9.38083,103.605
8.77496,7.47501
8.24621,260.791
7.81025,15.5445
7.48331,443.344
7.28011,20.5453
7.2111,668.21
7.28011,17.74
7.48331,512.57
7.81025,10.8527
8.24621,248.384
8.77496,4.30599
9.38083,102.205
9.84886,0.0515466
9.27362,1.9154
8.77496,0.175223
8.3666,4.32931
8.06226,0.149507
7.87401,6.39377
7.81025,0.153971
7.87401,6.38415
8.06226,0.271213
8.3666,4.36795
8.77496,0.079964
9.27362,1.95996
9.84886,0.0190589
