s,intensity
1.57612,2058.75
1.57792,2035.73
1.57972,2014.06
1.58152,1983.81
1.58332,1991.49
1.58512,1966.19
1.58692,1953.93
1.58872,1956.07
1.59052,1966.57
1.59232,1935.38
1.59412,1937.79
1.59592,1946.1
1.59772,1937.01
1.59952,1922.52
1.60132,1922.96
1.60312,1954.41
1.60492,1951.11
1.60672,1952.98
1.60852,1979.76
1.61032,1970.78
1.61212,1966.72
1.61392,1989.97
1.61572,2005.06
1.61752,2017.33
1.61932,2034.2
1.62112,2057.04
1.62292,2069.87
1.62472,2084.84
1.62653,2091.4
1.62833,2108.48
1.63013,2120.41
1.63193,2169.31
1.63373,2178.08
1.63553,2182.96
1.63733,2213.96
1.63913,2231.04
1.64093,2237.84
1.64273,2260.61
1.64453,2275.64
1.64633,2300.29
1.64813,2313.46
1.64993,2346.3
1.65173,2355.13
1.65353,2369
1.65533,2374.33
1.65713,2393.22
1.65893,2408.2
1.66073,2425.33
1.66253,2436.18
1.66433,2445.68
1.66613,2471.41
1.66793,2471.79
1.66973,2483.01
1.67153,2481.29
1.67333,2505.39
1.67514,2515.07
1.67694,2526.36
1.67874,2535.7
1.68054,2538.53
1.68234,2550.66
1.68414,2563.89
1.68594,2571.37
1.68774,2573.06
1.68954,2594.57
1.69134,2605.15
1.69314,2626.21
1.69494,2633.95
1.69674,2647.56
1.69854,2659.92
1.70034,2673.46
1.70214,2690.98
1.70394,2732.5
1.70574,2753.01
1.70754,2764.17
1.70934,2789.98
1.71114,2803.32
1.71294,2838.73
1.71474,2864.06
1.71654,2919.02
1.71834,2949.8
1.72014,2971.31
1.72194,3010.75
1.72374,3055.33
1.72555,3100.42
1.72735,3131.66
1.72915,3182.49
1.73095,3234.4
1.73275,3283.05
1.73455,3350.36
1.73635,3388.26
1.73815,3437.28
1.73995,3495.09
1.74175,3547.74
1.74355,3619.7
1.74535,3681.95
1.74715,3735.97
1.74895,3786.79
1.75075,3863.29
1.75255,3920.63
1.75435,3989.03
1.75615,4058.91
1.75795,4118.66
1.75975,4169.18
1.76155,4239.93
1.76335,4313.92
1.76515,4372.42
1.76695,4438.76
1.76875,4505.64
1.77055,4569.58
1.77235,4619.48
1.77415,4678.77
1.77596,4751.99
1.77776,4818.19
1.77956,4865.86
1.78136,4933.23
1.78316,5003.73
1.78496,5059.94
1.78676,5109.56
1.78856,5178.76
1.79036,5223.39
1.79216,5298.24
1.79396,5365.49
1.79576,5418.61
1.79756,5490.94
1.79936,5569.17
1.80116,5619.13
1.80296,5679.74
1.80476,5764.55
1.80656,5843.84
1.80836,5918.7
1.81016,6000.39
1.81196,6095.26
1.81376,6187.92
1.81556,6287.48
1.81736,6383.58
1.81916,6487.77
1.82096,6598.02
1.82276,6731.85
1.82456,6867.62
1.82637,7003.32
1.82817,7149.64
1.82997,7299.96
1.83177,7468.22
1.83357,7641.32
1.83537,7828.52
1.83717,8030.69
1.83897,8235.33
1.84077,8453.67
1.84257,8684.42
1.84437,8930.21
1.84617,9183.8
1.84797,9461.13
1.84977,9737.19
1.85157,10029.4
1.85337,10346.8
1.85517,10649.3
1.85697,10981.9
1.85877,11335.2
1.86057,11694.9
1.86237,12083.8
1.86417,12448
1.86597,12849.9
1.86777,13270.6
1.86957,13696.2
1.87137,14128.9
1.87317,14571.5
1.87497,15015.9
1.87678,15495.1
1.87858,15968.9
1.88038,16469.8
1.88218,16959.1
1.88398,17469.4
1.88578,17979.1
1.88758,18488.6
1.88938,19019
1.89118,19554.8
1.89298,20080.3
1.89478,20611.6
1.89658,21154.4
1.89838,21698.9
1.90018,22235.7
1.90198,22781.1
1.90378,23323.3
1.90558,23854
1.90738,24385.6
1.90918,24914.5
1.91098,25432.3
1.91278,25945.6
1.91458,26460.1
1.91638,26963.2
1.91818,27443
1.91998,27924.7
1.92178,28386.1
1.92358,28841.9
1.92538,29291.9
1.92719,29711.5
1.92899,30119.2
1.93079,30505.3
1.93259,30880
1.93439,31236.2
